Policy,Section,Training Name,Module,Audience,Learning Outcome
DSHP,Data Classification and Labeling,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff,"Classify information into the four levels (Public, Internal, Confidential, Restricted) using the definitions and examples; apply the correct minimum handling for each level"
DSHP,Data Classification — Labeling Requirements,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff; System/Data Owners (deeper),"Apply electronic labels (document banner, filename tag, or Workspace label) to all Confidential/Restricted items; assign a data owner; mark physical media accordingly"
DSHP,Data Classification — Data Minimization,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff,"Collect, keep, and copy only what is necessary; avoid local copies when cloud sharing suffices"
DSHP,Data Classification — CUI,Training 2 — CUI Awareness & Handling,C - CUI handling rules,All Staff working with CUI,Identify when CUI is present and treat it as Confidential with additional CUI-specific safeguards per the CUI Policy
DSHP,Approved Locations and Boundaries,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff,"Store Public/Internal data in approved locations (Google Workspace, approved repos/SaaS); store Confidential/Restricted only in access-controlled areas with audit logging; store CUI only in authorized CUI boundaries"
DSHP,Encryption Requirements — In Transit,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff; Developers (deeper),Verify that all data in transit uses TLS 1.2+ with strong cipher suites; confirm that cloud/SaaS providers enforce TLS for all CivicActions data flows
DSHP,Encryption Requirements — At Rest,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff; IT / Service Desk (deeper),Verify that cloud/SaaS providers enable encryption at rest for CivicActions data; enable full-disk encryption on all managed endpoints (FileVault/LUKS)
DSHP,Encryption Requirements — CUI Cryptography,"Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,IT / Service Desk; System/Data Owners,Use only FIPS 140-2/140-3 validated modules for CUI at rest and in transit; validate FedRAMP equivalency for cloud services before CUI use
DSHP,Encryption Requirements — Key Management,"Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,IT / Service Desk; Privileged Users,"Use cloud KMS/HSM or platform-managed keys with restricted roles, rotation, and logging; understand that key access is Restricted"
DSHP,Endpoints and Remote-First,Training 1 — Security Awareness Essentials,A - Your devices and workspace,All Staff,"Use managed endpoints for Confidential/Restricted access; keep data in the cloud; if temporary local storage is unavoidable, keep it on encrypted volumes and purge promptly; use secure connections and zero-trust posture for travel/home networks"
DSHP,Software Development and Testing (DevSecOps),Training 5 — Secure Development & Supply Chain,A - Secure engineering principles,Developers,Do not export PII or sensitive data from SaaS platforms for testing; store no secrets in source code; use SCA/SBOM and remediate vulnerabilities before release; include data handling checks as CI/CD gates
DSHP,Sharing and Communication Channels,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff,"Share via Google Drive to named accounts (no ""anyone with link"") for Internal/Confidential/Restricted; do not use email for Confidential/Restricted; if a partner cannot access Drive, send as a password-protected AES-256 archive with a 20+ character passphrase transmitted via a separate channel"
DSHP,Sharing — CUI Channels,Training 2 — CUI Awareness & Handling,C - CUI handling rules,All Staff working with CUI,Follow the CUI Policy for CUI sharing; do not use Slack for CUI data; use only approved CUI boundaries and channels
DSHP,Data Loss Prevention (DLP) and Monitoring,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff,Understand that Google Workspace DLP rules protect labels/keywords and block risky sharing; cooperate with endpoint controls and CIS baselines; know that DLP events and access anomalies are triaged and may escalate to IR
DSHP,Removable Media and Printing,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff,"Avoid removable media and printing by default; if business-necessary and approved, encrypt media, scan for malware, maintain chain-of-custody, and record in the asset register; CUI on removable media is exception-only"
DSHP,Backup and Recovery,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff; System/Data Owners (deeper),Sync project work to approved cloud (Google Drive/repos); do not backup credentials to cloud; understand that System Owners test restores for critical datasets annually
DSHP,Retention and Legal Holds,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff; System/Data Owners (deeper),Follow Data Owner–defined retention schedules; minimize retention by default; understand that legal holds override normal deletion
DSHP,Open Data and Public Release Controls,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff; Developers (deeper),"Before any public release, confirm Public classification, pass automated secrets/PII scans, obtain owner approval, review license, and confirm contract permits release if derived from client data"
DSHP,Media Sanitization and Destruction,"Training 6 — Access Governance, Risk & Supplier Oversight",A - Access governance,IT / Service Desk; System/Data Owners,"Understand the remote-first sanitization methods: cryptographic erasure via MDM, validated wipe for returned devices, approved wiping tools for external media, and mail-in shredding for failed media; know that full-disk encryption is mandatory so key destruction renders data irrecoverable"
DSHP,Third-Party Management,"Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,Managers; System/Data Owners,"Ensure vendors touching CivicActions or client data meet baseline safeguards by contract with annual reviews; for CUI, require FedRAMP Moderate equivalency"
DSHP,Incident Response and Contingency,Training 1 — Security Awareness Essentials,E - Recognizing and reporting incidents,All Staff,"Report immediately any suspected data incident (loss, exposure, mis-send, DLP block); know that incidents are handled under the IR Plan and post-incident learning updates controls"
DSHP,"Governance, Evidence and Continuous Improvement","Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,IT / Service Desk; System/Data Owners,"Understand that evidence is maintained (classification attestations, DLP configs, encryption posture, backup tests, sanitization certificates, vendor reviews); track DLP incidents, restore success, time-to-revoke, and % managed endpoints"
DSHP,Compliance and Enforcement,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff,"Understand that violations can result in access revocation, disciplinary action, or contract remedies"
